formula,id,identifier,is_public,last_modified,project,KS_indirect_eV,KS_direct_eV,QP_indirect,QP_direct,C_value
Rb3GaO3,5f22a15cad184a29bf240d04,mp-13744,True,2020-07-30T10:30:52.610000,dtu,4160.03,4160.0,5898.04,5898.0,1738.01
Sr3Ga4O9,5f22a15cad184a29bf240d06,mp-30158,True,2020-07-30T10:30:52.817000,dtu,4108.64,4144.77,5850.1,5886.23,1741.46
K2S,5f22a15cad184a29bf240d08,mp-1022,True,2020-07-30T10:30:53.023000,dtu,3772.6,3915.55,5964.28,6107.23,2191.68
NaAlCl4,5f22a15cb58a4a3d3003a226,mp-23363,True,2020-07-30T10:30:52.321000,dtu,6657.68,6664.22,9508.77,9515.31,2851.08
Na2SnF6,5f22a15cb58a4a3d3003a228,mp-8811,True,2020-07-30T10:30:52.529000,dtu,6928.61,6928.56,9465.46,9465.41,2536.85
RbCl,5f22a15cb58a4a3d3003a22a,mp-23295,True,2020-07-30T10:30:52.745000,dtu,6500.34,6500.29,9619.01,9618.96,3118.67
KAl(SO4)2,5f22a15cb58a4a3d3003a22c,mp-7645,True,2020-07-30T10:30:52.949000,dtu,7230.71,7250.77,9577.52,9597.59,2346.82
CaCl2,5f22a15cb58a4a3d3003a22e,mp-22904,True,2020-07-30T10:30:53.161000,dtu,6677.05,6677.0,9652.96,9652.91,2975.9
RbAuBr3,5f22a15d314c69f46a0739dc,mp-27300,True,2020-07-30T10:30:53.285000,dtu,1013.63,1149.62,1460.29,1596.28,446.662
Te4MoBr,5f22a15d314c69f46a0739de,mp-29190,True,2020-07-30T10:30:53.485000,dtu,1043.64,1043.64,1488.01,1488.0,444.365
K2Te2Pt,5f22a15d314c69f46a0739e0,mp-8623,True,2020-07-30T10:30:53.686000,dtu,1045.98,1631.01,1496.27,2081.3,450.288
Ba3(Si2P3)2,5f22a15d314c69f46a0739e2,mp-27887,True,2020-07-30T10:30:53.885000,dtu,1018.93,1018.92,1492.55,1492.54,473.622
LaS2,5f22a15d314c69f46a0739e4,mp-1508,True,2020-07-30T10:30:54.086000,dtu,1049.82,1607.51,1488.19,2045.88,438.366
CdCl2,5f22a15dad184a29bf240d0a,mp-22881,True,2020-07-30T10:30:53.233000,dtu,4161.62,4206.98,5983.04,6028.39,1821.42
SrSeO3,5f22a15dad184a29bf240d0c,mp-3395,True,2020-07-30T10:30:53.441000,dtu,4342.74,4351.41,6003.5,6012.16,1660.76
K2TeO3,5f22a15dad184a29bf240d0e,mp-8724,True,2020-07-30T10:30:53.649000,dtu,4220.9,4357.43,6024.62,6161.14,1803.71
Li2TeO3,5f22a15dad184a29bf240d10,mp-27231,True,2020-07-30T10:30:53.857000,dtu,4251.88,4422.97,6000.41,6171.51,1748.54
CsPbF3,5f22a15dad184a29bf240d12,mp-20282,True,2020-07-30T10:30:54.062000,dtu,4494.14,4494.11,6024.73,6024.7,1530.59
Li2BeSiO4,5f22a15db58a4a3d3003a230,mp-8070,True,2020-07-30T10:30:53.373000,dtu,6947.38,7143.87,9664.98,9861.47,2717.6
SiO2,5f22a15db58a4a3d3003a232,mp-6945,True,2020-07-30T10:30:53.581000,dtu,6997.48,6997.43,9740.08,9740.03,2742.59
BaClF,5f22a15db58a4a3d3003a234,mp-23432,True,2020-07-30T10:30:53.785000,dtu,7004.57,7020.53,9848.77,9864.73,2844.2
YPO4,5f22a15db58a4a3d3003a236,mp-5132,True,2020-07-30T10:30:53.989000,dtu,7178.21,7178.16,9750.93,9750.88,2572.72
NaSnP,5f22a15e314c69f46a0739e6,mp-29529,True,2020-07-30T10:30:54.285000,dtu,1000.92,1517.22,1486.48,2002.78,485.563
VCu3Se4,5f22a15e314c69f46a0739e8,mp-21855,True,2020-07-30T10:30:54.486000,dtu,1160.86,1469.13,1491.37,1799.64,330.512
Hg2As3Br,5f22a15e314c69f46a0739ea,mp-28899,True,2020-07-30T10:30:54.685000,dtu,1032.31,1231.31,1468.54,1667.55,436.236
CuSbSe2,5f22a15e314c69f46a0739ec,mp-20331,True,2020-07-30T10:30:54.885000,dtu,1015.25,1119.12,1457.36,1561.22,442.108
Ba2FeMoO6,5f22a15e314c69f46a0739ee,mp-510675,True,2020-07-30T10:30:55.090000,dtu,1183.97,1270.45,1493.01,1579.49,309.039
Li2SnO3,5f22a15ead184a29bf240d14,mp-3540,True,2020-07-30T10:30:54.277000,dtu,4271.19,4345.46,6014.81,6089.08,1743.62
LaBr3,5f22a15ead184a29bf240d16,mp-23263,True,2020-07-30T10:30:54.490000,dtu,4373.93,4373.9,6064.9,6064.87,1690.97
Ba2YTaO6,5f22a15ead184a29bf240d18,mp-12385,True,2020-07-30T10:30:54.705000,dtu,4813.9,4816.85,6133.29,6136.23,1319.38
BaZrO3,5f22a15ead184a29bf240d1a,mp-3834,True,2020-07-30T10:30:54.913000,dtu,4619.13,4756.09,6079.96,6216.92,1460.83
