snumat-id,formula,HSE,GGA
SM-13019,Ba2F2Mn2Se2O1,2.837282,2.084345
SM-11309,Ba8Sn4F8S12,3.3258,2.266507
SM-11310,Ba8Sn4F8Se12,2.603566,1.6912559999999999
SM-1845,Ba4Pd2F12,3.933191,1.753042
SM-2105,Ba2Zn1F6,7.310396,6.058636
SM-20153,Ba4Fe2Ge4O14,2.030303,1.4949109999999999
SM-19035,Ba4Fe2V4O18H2,3.802825,2.560435
SM-11311,Ba2Fe1Mo1O6,1.885416,0.550438
SM-15654,Ba8Fe4O16,2.133662,0.8606209999999991
SM-16061,Ba2Fe1W1O6,1.816087999999999,1.2725549999999999
SM-13352,Ba8Sb4Fe4S20,1.844974,1.044903
SM-15556,Ba8Fe4Se12,2.282588999999999,1.479382
SM-13020,Ba4Fe6P12O44H2,3.814869,2.404527
SM-11313,Y2Ba4Fe6O16,2.411467,1.158213
SM-13759,Ba4Ge2Ga2N2,0.371357999999999,0.0
SM-11314,Ba4In2Ga2O10,2.726677,1.439548
SM-11315,Ba8Sb4Ga4S20,2.916802,2.155598
SM-11316,Ba8Ga4Sb4Se20,2.223655,1.572914
SM-11317,Ba8Ga4Sb4Te20,1.548416,1.008105
SM-11318,Ba4Y2Ga2Se10,2.464762,1.628973
SM-11319,Ba4Ga2Y2Te10,1.011054,0.426338
SM-15816,Ba8Ga8S20,3.827609,2.753945
SM-13760,Ba8Ge4P8,0.9320870000000001,0.559358
SM-14399,Ba8Ge4S16,3.232473,2.218276
SM-11320,Ba4Ge2Te4Se4,1.439642,0.7490549999999999
SM-19954,Ba4Ge2Se8,2.201578,1.335453
SM-6237,Ba8Ge4,0.454478,0.076361
SM-4984,Ba4Zn2Ge4S12O2,3.177629,2.077849
SM-14609,Ba8Ge8Se20,1.8261649999999992,1.1400379999999999
SM-14868,Ba8Te20Ge8,1.125572,0.583439
SM-13761,Ba4Ir8Ge10,0.48710599999999904,0.176159
SM-19036,Ba4Mn2V4O18H2,2.015776,0.790899
SM-13353,Ba4V6P12O44H2,2.5653,1.820886
SM-18976,Ba4V6O18H2,3.043289,2.077478
SM-14253,I1Ba2H3,2.978640999999999,2.142025999999999
SM-11322,Ba4Tl2O14H14,3.702915,2.360364
SM-14569,Ba2Hf1S4,1.595811,0.8352100000000001
SM-14596,Ba8Hg4S12,2.302946,1.3609429999999991
SM-14624,Hg4Ba8S20,2.6833080000000002,1.660548999999999
SM-11324,Ba2I1Na1O6,3.924027,2.239865
SM-14475,Ba4I2P14,2.407877999999999,1.719952999999999
SM-2512,Ba4I4O2,4.07501,2.969277
SM-13354,Ba6Ru3In3O18,2.382611,0.37601599999999996
SM-14770,Ba8S16In4,2.943493999999999,1.882019
SM-11325,Ba4Sb2In2Se10,1.390939,0.756567
SM-11326,Ba8Sb4In4Te20,1.101429,0.641919
SM-11327,Ba4In2Y2Se10,1.901715,1.076875
SM-11328,Ba4In2Y2Te10,1.3023609999999999,0.684893
SM-3064,Ba4In4O10,2.12527,0.9875879999999999
SM-13356,Ba4La2Ru2O12,2.21815,0.21004
SM-11334,Ba2La1Ru1O6,2.245301,0.21953399999999998
SM-11335,Ba2La1Ru1O6,2.229281,0.20963099999999998
SM-13021,La2Ba2Mn1W2O12,2.417233,1.628393
SM-13357,Ba2Li1Re1O6,2.92142,1.798792
SM-18512,Ba8Si12Li4,0.353848999999999,0.08803999999999901
SM-11337,Nb2Ba4N8Li6,3.325352,2.360156
SM-11338,Ta2Ba4N8Li6,3.382136,2.412366
SM-11339,Ba2Lu1Ru1O6,2.072719,0.056315
SM-13762,Ba2Mg1Te1O6,3.318005,1.794603
SM-11341,Ba2Mn1Mo1O6,1.528237,0.8250149999999999
SM-17460,Ba8Mn4O12,3.467338,2.390465
SM-11343,Mn1Ba2Te1O6,1.780556,1.021438
SM-11344,Ba2Mn1W1O6,2.501739,1.690593
SM-18731,Ba8Mn4S12,2.699251,1.857771
SM-14637,Ba12Sn4P12,1.358469999999999,0.801285
SM-4131,Ba8Mn8Sb8O4,1.383378,0.8403959999999999
SM-4135,Ba4Mn6Sb4O4,1.335622,0.8095779999999999
